char,readings
情熱,じょうねつ
熱,ねつ
熱い,あつい
熱心,ねっしん
皆さん,みなさん
緑,みどり
緑色,みどりいろ
詩,し
詩人,しじん
詩歌,しいか;しか
課長,かちょう
賞金,しょうきん
選ぶ,えらぶ
選手,せんしゅ
水銀,すいぎん
銀,ぎん
銀色,ぎんいろ
銀行,ぎんこう
鏡,かがみ
放題,ほうだい
話題,わだい
お願いします,おねがいします
心願,しんがん
旅館,りょかん
本館,ほんかん
駅,えき
駅前,えきまえ
駅員,えきいん
駅長,えきちょう
里,さと
里心,さとごころ
都合,つごう
求める,もとめる
求人,きゅうじん
心理,しんり
私,わたし;わたくし
私生活,しせいかつ
私立,しりつ
私鉄,してつ
保持,ほじ
生保,せいほ
保つ,たもつ
私自身,わたしじしん;わたくしじしん
不良,ふりょう
整理,せいり
私立大学,しりつだいがく
要求,ようきゅう
要求する,ようきゅうする
消化,しょうか
イギリス人,いぎりすじん;イギリスじん
気持ちいい,きもちいい
運,うん
私大,しだい
試みる,こころみる
試す,ためす
試食,ししょく
体験,たいけん
受験,じゅけん
実験,じっけん
試験,しけん
入学試験,にゅうがくしけん
意外,いがい
開始,かいし
発表,はっぴょう
表す,あらわす
広がる,ひろがる
曲線,きょくせん
出発,しゅっぱつ
気温,きおん
前回,ぜんかい
時代,じだい
本当,ほんとう
本当に,ほんとうに
宿,やど
内,うち
身,み
宝,たから
宝石,ほうせき
国宝,こくほう
社会,しゃかい
宝くじ,たからくじ
明日,あした;あす;みょうにち
空車,くうしゃ
丁目,ちょうめ
本屋,ほんや
一歩,いっぽ
階,かい
付き,つき
台,だい
三百,さんびゃく
都市,とし
言語,げんご
地上,ちじょう
全部,ぜんぶ
時,じ
万人,ばんにん
味方,みかた
天使,てんし
人,にん
発売中,はつばいちゅう
速い,はやい
北海道,ほっかいどう
新年,しんねん
足す,たす
要る,いる
車両,しゃりょう
対談,たいだん
食べ物,たべもの
波,なみ
言葉,ことば
丁度いい,ちょうどいい
別れる,わかれる
共有する,きょうゆうする
保持する,ほじする
僕,ぼく
地球,ちきゅう
通う,かよう
二日,ふつか
人々,ひとびと
少女,しょうじょ
万,まん
赤い,あかい
白い,しろい
百,ひゃく
会,かい
早く,はやく
死,し
姉,あね
室,しつ
大きく,おおきく
近く,ちかく
向ける,むける
お前,おまえ
部,ぶ
部分,ぶぶん
千葉,ちば
思わず,おもわず
立ち飲み,たちのみ
田代島,たしろじま
表情,ひょうじょう
人工,じんこう
一日,いちにち;ついたち
七日,なのか
三日,みっか
二十日,はつか
草地,くさち
台風,たいふう
考古学,こうこがく
地中海,ちちゅうかい
毎朝,まいあさ
不自由,ふじゆう
教え,おしえ
表,おもて
作業,さぎょう
病む,やむ
中指,なかゆび
屋上,おくじょう
支度,したく
用意,ようい
会員,かいいん
船員,せんいん
都会,とかい
女神,めがみ;じょしん
九日,ここのか
八日,ようか
十日,とおか
一生,いっしょう
国王,こくおう
水星,すいせい
金星,きんせい
売れる,うれる
船体,せんたい
当たり前,あたりまえ
水道,すいどう
付近,ふきん
欠かす,かかす
見物,けんぶつ
入院,にゅういん
葉,は
予め,あらかじめ
平仮名,ひらがな
文字通り,もじどおり
島,しま
落ち,おち
陽気,ようき
学問,がくもん
用,よう
仕草,しぐさ
生える,はえる
形,けい
土星,どせい
活気,かっき
号室,ごうしつ
大空,おおぞら
見当たる,みあたる
三角形,さんかくけい;さんかっけい
活用形,かつようけい
役場,やくば
点ける,つける
何度,なんど
泳ぎ,およぎ
記事,きじ
口調,くちょう
語る,かたる
初歩,しょほ
新た,あらた
西洋,せいよう
期間,きかん
行動,こうどう
集まり,あつまり
想定,そうてい
水中,すいちゅう
丸ごと,まるごと
外交,がいこう
生まれ,うまれ
地中,ちちゅう
活用,かつよう
一体,いったい
小声,こごえ
辺,へん
役目,やくめ
生地,きじ
火事,かじ
通す,とおす
台所,だいどころ
農場,のうじょう
別,べつ
心持ち,こころもち
昔話,むかしばなし
見事,みごと
植える,うえる
親分,おやぶん
顔文字,かおもじ
王様,おうさま
大人しい,おとなしい
出かける,でかける
大体,だいたい
海王星,かいおうせい
以下,いか
番組,ばんぐみ
部室,ぶしつ
大学院,だいがくいん
親指,おやゆび
大学院生,だいがくいんせい
左右,さゆう
大気,たいき
町民,ちょうみん
文学,ぶんがく
知る,しる
来週,らいしゅう
科目,かもく
生物,せいぶつ
家事,かじ
今朝,けさ
港,みなと
神様,かみさま
入力,にゅうりょく
戸,と
女の人,おんなのひと
本来,ほんらい
手首,てくび
光る,ひかる
数年,すうねん
絵文字,えもじ
部首,ぶしゅ
近所,きんじょ
足し算,たしざん
引き算,ひきざん
生物学,せいぶつがく
指先,ゆびさき
湯,ゆ
活動,かつどう
札,ふだ
以後,いご
使用,しよう
番号札,ばんごうふだ
特選,とくせん
投手,とうしゅ
伝記,でんき
祭日,さいじつ
着々,ちゃくちゃく
斤,きん
斤,きん
一斤,いっきん
二斤,にきん
